ecg,ppg
0.03052,0.0354
0.02686,-0.00122
0.02686,0.00732
0.0293,-0.01831
0.05127,-0.02075
0.04883,-0.03418
0.0293,-0.06348
-0.00244,-0.09033
-0.03662,-0.1001
-0.05615,-0.11963
-0.0708,-0.13184
-0.06226,-0.13916
-0.04761,-0.14526
-0.03174,-0.18311
-0.02441,-0.19531
-0.04761,-0.19409
-0.06958,-0.22339
-0.08301,-0.22583
-0.08179,-0.25391
-0.05737,-0.2478
-0.02808,-0.2832
-0.00488,-0.29053
0.0293,-0.29175
0.05615,-0.31616
0.10864,-0.3125
0.16357,-0.32471
0.19653,-0.35889
0.16846,-0.35278
0.09277,-0.3833
-0.02319,-0.38086
-0.13306,-0.38818
-0.18799,-0.41138
-0.19165,-0.40649
-0.15259,-0.4248
-0.10986,-0.448
-0.08423,-0.44067
-0.04517,-0.45532
-0.01709,-0.46021
-0.00732,-0.48828
-0.01343,-0.48584
-0.02808,-0.50903
-0.04028,-0.50659
-0.0354,-0.52979
-0.02808,-0.53589
-0.01221,-0.53589
0,-0.55054
0.0061,-0.54565
0.00366,-0.54077
0.00366,-0.55908
0.01587,-0.5603
0.02808,-0.58472
0.05493,-0.58105
0.07446,-0.58105
0.07813,-0.58716
0.07813,-0.60425
0.06958,-0.59448
0.07935,-0.60669
0.08911,-0.60303
0.08789,-0.60547
0.07935,-0.61768
0.07568,-0.60547
0.08423,-0.61523
0.09644,-0.6189
0.1062,-0.62378
0.09766,-0.60913
0.09644,-0.58594
0.09644,-0.53345
0.10986,-0.49072
0.12573,-0.45654
0.15381,-0.3772
0.15869,-0.33081
0.15259,-0.26001
0.14771,-0.1709
0.1416,-0.06104
0.1416,0.00854
0.11475,0.12207
0.08667,0.19531
0.05371,0.29541
0.03906,0.37964
0.02319,0.47852
0.00122,0.53833
-0.02808,0.60303
-0.04517,0.67749
-0.04761,0.72998
-0.03906,0.78491
-0.04028,0.82031
-0.03906,0.84961
-0.03296,0.86914
-0.03662,0.86182
-0.05127,0.88623
-0.07568,0.87036
-0.08789,0.87402
-0.07324,0.87646
-0.06592,0.84351
-0.0647,0.84595
-0.06714,0.82642
-0.06958,0.79468
-0.06348,0.78125
-0.08057,0.75562
-0.07935,0.72998
-0.06958,0.70801
-0.05371,0.68726
-0.03418,0.64697
-0.03662,0.62744
-0.03906,0.62134
-0.04639,0.61035
-0.03906,0.57373
-0.03296,0.56396
-0.0293,0.5542
-0.03906,0.52612
-0.05859,0.52612
-0.06104,0.49561
-0.06226,0.47974
-0.05981,0.47852
-0.05615,0.46509
-0.04272,0.42847
-0.03418,0.42969
-0.03906,0.40283
-0.05859,0.38086
-0.05859,0.37476
-0.04761,0.36865
-0.02563,0.35156
-0.01709,0.34546
-0.0354,0.32715
-0.05737,0.30396
-0.05737,0.30396
-0.03906,0.30273
-0.02686,0.28564
-0.05615,0.29175
-0.08301,0.28564
-0.07813,0.26733
-0.05737,0.26611
-0.02319,0.26978
-0.01465,0.26367
-0.01831,0.271
-0.0293,0.27954
-0.04883,0.27466
